Column1,Method,NumSimulationScenario,Distribution,TravelCov,ServiceCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
70,Scenario,10000,normal,0.25,0.1,10,8,305.2770219,57,1,3,0.98,100,0,0,0.2467,0.0384,0.066,0.0075,15,"[(30, 0.9983), (31, 0.9774), (34, 0.9997), (43, 1.0), (44, 0.9763), (49, 0.9798), (50, 1.0), (52, 1.0), (54, 0.9999), (56, 1.0), (57, 1.0), (58, 1.0), (59, 1.0)]",0.994723077,0.9763,7,1,7,6,13,13
71,Scenario,10000,normal,0.25,0.1,14,8,714.641556,58,1,3,0.98,100,0,0,0.5991,0.2219,0.1333,0.0428,30,"[(30, 0.9941), (31, 1.0), (34, 0.9964), (35, 1.0), (36, 1.0), (43, 1.0), (44, 0.9763), (46, 1.0), (47, 0.9928), (48, 0.9997), (49, 0.9984), (50, 0.9998), (52, 0.9617), (53, 0.9905), (54, 0.9737), (56, 0.9912), (57, 1.0), (58, 0.9799), (59, 1.0)]",0.992342105,0.9617,12,0.894736842,10,7,17,19
72,Scenario,10000,normal,0.25,0.1,16,8,485.3609459,58,1,3,0.98,50,0,0,1.5828,0.2812,0.2546,0.0472,55,"[(30, 0.9997), (31, 0.9774), (32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 1.0), (36, 1.0), (43, 1.0), (45, 0.9988), (46, 0.9864), (47, 0.9927), (48, 0.9997), (49, 0.9889), (50, 0.9836), (51, 0.9533), (52, 0.9686), (53, 0.9297), (54, 1.0), (56, 0.9873), (57, 1.0), (58, 0.998), (59, 1.0)]",0.985427273,0.9297,14,0.818181818,11,7,18,22
73,Scenario,10000,normal,0.25,0.1,14,8,358.52582,58,1,3,0.98,50,0,0,1.9028,0.2086,0.2651,0.0345,55,"[(30, 0.9941), (31, 0.9853), (32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 0.9788), (36, 0.9484), (43, 1.0), (44, 0.9763), (45, 0.9988), (46, 1.0), (47, 1.0), (48, 0.9998), (49, 0.9996), (50, 0.9035), (52, 0.9686), (53, 1.0), (54, 1.0), (56, 1.0), (57, 1.0), (58, 1.0), (59, 1.0)]",0.984931818,0.9035,12,0.818181818,10,8,18,22
74,Scenario,10000,normal,0.25,0.1,16,8,7196.025163,57,1,3,0.98,500,0,0,0.3743,0.1358,0.0819,0.0268,20,"[(30, 0.9997), (31, 1.0), (32, 0.9977), (33, 1.0), (34, 0.9986), (35, 1.0), (36, 0.9997), (43, 0.9949), (45, 1.0), (46, 0.9927), (47, 0.9928), (48, 1.0), (49, 1.0), (50, 0.9991), (52, 0.9819), (53, 0.9999), (54, 0.9748), (55, 1.0), (56, 0.9978), (57, 1.0), (58, 0.9839)]",0.995880952,0.9748,13,0.952380952,12,8,20,21
75,Deterministic ,10000,normal,0.25,0.1,12,8,25.90840006,59,1,3,0.98,0,0,0,9.0218,0.1758,0.9728,0.0872,69,"[(30, 0.4396), (31, 0.6712), (34, 1.0), (35, 1.0), (36, 0.6612), (43, 0.7692), (44, 0.7883), (47, 0.8421), (48, 0.8396), (49, 0.4982), (50, 0.6649), (52, 0.9957), (53, 0.5538000000000001), (54, 1.0), (55, 0.6496), (56, 0.8468), (57, 0.9987), (58, 0.7024), (59, 0.9773)]",0.784136842,0.4396,11,0.315789474,4,2,6,19
76,Deterministic ,10000,normal,0.25,0.1,8,8,4.778098106,60,1,3,0.98,0,0,0,10.0032,0.1726,0.9786,0.0879,81,"[(30, 0.49870000000000003), (31, 0.6712), (34, 1.0), (35, 1.0), (36, 0.6464), (43, 0.7692), (44, 0.7883), (47, 0.7806), (48, 1.0), (49, 0.4488), (50, 0.9065), (52, 0.9699), (53, 0.5538000000000001), (54, 0.6945), (55, 0.7128), (56, 0.5905), (57, 0.8009), (58, 0.6698999999999999), (59, 0.9773)]",0.762068421,0.4488,8,0.210526316,1,3,4,19
77,Scenario,10000,normal,0.25,0.1,18,8,744.9167411,59,1,3,0.98,50,0,0,1.3041,0.3796,0.2282,0.0628,40,"[(30, 0.998), (31, 0.9998), (32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 1.0), (36, 1.0), (42, 0.984), (43, 0.9767), (45, 0.9988), (46, 0.9979), (47, 0.9986), (48, 0.9997), (49, 0.9772), (50, 0.9978), (51, 0.952), (52, 0.9686), (53, 0.9892), (54, 0.9963), (55, 0.9991), (56, 0.9917), (57, 0.997), (58, 0.9885), (59, 1.0)]",0.988591667,0.9476,17,0.875,15,6,21,24
78,Scenario,10000,normal,0.25,0.1,12,8,1289.639253,57,1,3,0.98,500,0,0,0.3389,0.0672,0.0767,0.0125,30,"[(30, 0.9997), (31, 1.0), (34, 1.0), (35, 1.0), (36, 0.9997), (43, 1.0), (44, 0.9999), (47, 0.9928), (48, 1.0), (49, 1.0), (50, 0.9712), (52, 1.0), (53, 0.9905), (54, 0.9963), (56, 0.994), (57, 1.0), (58, 0.9799)]",0.995529412,0.9712,9,0.941176471,8,8,16,17
79,Scenario,10000,normal,0.25,0.1,8,8,523.4752121,57,1,3,0.98,500,0,0,0.2293,0.01,0.0602,0.0019,25,"[(30, 0.9997), (31, 0.9774), (34, 1.0), (43, 1.0), (44, 1.0), (49, 0.9798), (50, 1.0), (52, 0.9905), (54, 1.0), (56, 1.0), (57, 1.0), (58, 0.9883)]",0.994641667,0.9774,5,1,5,7,12,12
