Column1,Method,NumSimulationScenario,Distribution,TravelCov,ServiceCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
4404,EVT,10000,normal,0.25,0.1,10,8,28.53170109,58,1,3,2.05,0,0.25,0.1,0.0475,0,0.0822,0,15,"[(34, 0.9848), (35, 1.0), (36, 0.9927), (43, 0.9991), (44, 0.9919), (50, 1.0), (52, 0.9805), (53, 0.9875), (54, 0.9922), (56, 0.9907), (57, 0.9999), (58, 0.9886), (59, 1.0)]",0.992915385,0.9805,8,1,8,5,13,13
4405,EVT,10000,normal,0.25,0.1,8,8,25.85962987,59,1,3,2.05,0,0.3,0.1,0.0252,0.0005,0.0648,0.0015,10,"[(30, 0.9849), (31, 0.9975), (34, 0.9848), (35, 0.9937), (36, 0.998), (43, 0.9991), (44, 0.9996), (49, 0.9966), (50, 0.9994), (52, 0.9968), (53, 1.0), (54, 0.9926), (56, 0.9907), (57, 0.9987), (58, 0.999), (59, 1.0)]",0.9957125,0.9848,7,1,7,9,16,16
4406,EVT,10000,normal,0.25,0.1,12,8,66.11861396,59,1,3,2.05,0,0.2,0.1,0.1244,0.0003,0.2199,0.0009,20,"[(30, 0.9833), (31, 0.9695), (34, 1.0), (35, 1.0), (36, 0.9927), (43, 0.9786), (44, 0.9919), (47, 0.9759), (48, 0.9986), (49, 0.988), (50, 0.9801), (52, 0.9879), (53, 0.9875), (54, 0.9923), (55, 0.9698), (56, 0.9896), (57, 0.9786), (58, 0.9804), (59, 0.9929)]",0.986189474,0.9695,11,0.894736842,10,7,17,19
4407,EVT,10000,normal,0.25,0.1,10,8,61.20428205,58,1,3,2.05,0,0.35,0.1,0.0139,0,0.0424,0,10,"[(34, 0.9848), (35, 0.9937), (36, 0.998), (43, 0.9991), (44, 0.9996), (50, 0.9994), (52, 0.9968), (53, 1.0), (54, 0.9954), (56, 0.9907), (57, 0.9999), (58, 0.999), (59, 1.0)]",0.996646154,0.9848,8,1,8,5,13,13
4408,EVT,10000,normal,0.25,0.1,14,8,120.4302509,58,1,3,2.05,0,0.3,0.1,0.0434,0,0.1133,0.0008,15,"[(30, 0.9972), (31, 0.9975), (34, 1.0), (35, 1.0), (36, 0.9988), (43, 0.9991), (44, 0.9996), (46, 0.9947), (47, 0.9808), (48, 0.9991), (49, 0.989), (50, 0.9801), (52, 0.9785), (53, 0.998), (54, 0.9954), (56, 0.9897), (57, 0.9999), (58, 0.9804), (59, 0.9929)]",0.993194737,0.9785,12,1,12,7,19,19
4409,EVT,10000,normal,0.25,0.1,12,8,66.59385586,59,1,3,2.05,0,0.2,0.1,0.1244,0.0003,0.2199,0.0009,20,"[(30, 0.9833), (31, 0.9695), (34, 1.0), (35, 1.0), (36, 0.9927), (43, 0.9786), (44, 0.9919), (47, 0.9759), (48, 0.9986), (49, 0.988), (50, 0.9801), (52, 0.9879), (53, 0.9875), (54, 0.9923), (55, 0.9698), (56, 0.9896), (57, 0.9786), (58, 0.9804), (59, 0.9929)]",0.986189474,0.9695,11,0.894736842,10,7,17,19
4410,EVT,10000,normal,0.25,0.1,14,8,117.3619549,58,1,3,2.05,0,0.3,0.1,0.0434,0,0.1133,0.0008,15,"[(30, 0.9972), (31, 0.9975), (34, 1.0), (35, 1.0), (36, 0.9988), (43, 0.9991), (44, 0.9996), (46, 0.9947), (47, 0.9808), (48, 0.9991), (49, 0.989), (50, 0.9801), (52, 0.9785), (53, 0.998), (54, 0.9954), (56, 0.9897), (57, 0.9999), (58, 0.9804), (59, 0.9929)]",0.993194737,0.9785,12,1,12,7,19,19
4411,EVT,10000,normal,0.25,0.1,10,8,60.68431783,58,1,3,2.05,0,0.35,0.1,0.0139,0,0.0424,0,10,"[(34, 0.9848), (35, 0.9937), (36, 0.998), (43, 0.9991), (44, 0.9996), (50, 0.9994), (52, 0.9968), (53, 1.0), (54, 0.9954), (56, 0.9907), (57, 0.9999), (58, 0.999), (59, 1.0)]",0.996646154,0.9848,8,1,8,5,13,13
4412,EVT,10000,normal,0.25,0.1,8,8,27.37662196,59,1,3,2.05,0,0.3,0.1,0.0252,0.0005,0.0648,0.0015,10,"[(30, 0.9849), (31, 0.9975), (34, 0.9848), (35, 0.9937), (36, 0.998), (43, 0.9991), (44, 0.9996), (49, 0.9966), (50, 0.9994), (52, 0.9968), (53, 1.0), (54, 0.9926), (56, 0.9907), (57, 0.9987), (58, 0.999), (59, 1.0)]",0.9957125,0.9848,7,1,7,9,16,16
4413,EVT,10000,normal,0.25,0.1,12,8,66.6704011,59,1,3,2.05,0,0.2,0.1,0.1244,0.0003,0.2199,0.0009,20,"[(30, 0.9833), (31, 0.9695), (34, 1.0), (35, 1.0), (36, 0.9927), (43, 0.9786), (44, 0.9919), (47, 0.9759), (48, 0.9986), (49, 0.988), (50, 0.9801), (52, 0.9879), (53, 0.9875), (54, 0.9923), (55, 0.9698), (56, 0.9896), (57, 0.9786), (58, 0.9804), (59, 0.9929)]",0.986189474,0.9695,11,0.894736842,10,7,17,19
4414,EVT,10000,normal,0.25,0.1,14,8,115.840951,58,1,3,2.05,0,0.3,0.1,0.0434,0,0.1133,0.0008,15,"[(30, 0.9972), (31, 0.9975), (34, 1.0), (35, 1.0), (36, 0.9988), (43, 0.9991), (44, 0.9996), (46, 0.9947), (47, 0.9808), (48, 0.9991), (49, 0.989), (50, 0.9801), (52, 0.9785), (53, 0.998), (54, 0.9954), (56, 0.9897), (57, 0.9999), (58, 0.9804), (59, 0.9929)]",0.993194737,0.9785,12,1,12,7,19,19
4415,EVT,10000,normal,0.25,0.1,8,8,26.11446404,59,1,3,2.05,0,0.3,0.1,0.0252,0.0005,0.0648,0.0015,10,"[(30, 0.9849), (31, 0.9975), (34, 0.9848), (35, 0.9937), (36, 0.998), (43, 0.9991), (44, 0.9996), (49, 0.9966), (50, 0.9994), (52, 0.9968), (53, 1.0), (54, 0.9926), (56, 0.9907), (57, 0.9987), (58, 0.999), (59, 1.0)]",0.9957125,0.9848,7,1,7,9,16,16
4416,EVT,10000,normal,0.25,0.1,12,8,27.00931907,59,1,3,2.05,0,0.15,0.1,0.3795,0.017,0.3287,0.0182,25,"[(30, 0.9452), (31, 0.9695), (34, 0.9848), (35, 1.0), (36, 0.9927), (43, 0.9786), (44, 0.9438), (47, 0.9759), (48, 0.9986), (49, 0.9452), (50, 0.9765), (52, 0.9952), (53, 0.9875), (54, 0.9527), (55, 0.9698), (56, 1.0), (57, 0.9786), (58, 0.9727), (59, 1.0)]",0.977226316,0.9438,11,0.631578947,7,5,12,19
4417,EVT,10000,normal,0.25,0.1,14,8,187.538996,58,1,3,2.05,0,0.25,0.1,0.0507,0.005,0.0895,0.0069,15,"[(30, 0.9872), (31, 0.9944), (34, 1.0), (35, 1.0), (36, 0.9925), (43, 0.9991), (44, 0.9919), (46, 1.0), (47, 0.9888), (48, 0.9986), (49, 0.988), (50, 1.0), (52, 0.9947), (53, 0.998), (54, 0.9866), (56, 0.9896), (57, 0.9999), (58, 1.0), (59, 0.9929)]",0.994852632,0.9866,12,1,12,7,19,19
4418,EVT,10000,normal,0.25,0.1,12,8,24.02892995,59,1,3,2.05,0,0.15,0.1,0.3795,0.017,0.3287,0.0182,25,"[(30, 0.9452), (31, 0.9695), (34, 0.9848), (35, 1.0), (36, 0.9927), (43, 0.9786), (44, 0.9438), (47, 0.9759), (48, 0.9986), (49, 0.9452), (50, 0.9765), (52, 0.9952), (53, 0.9875), (54, 0.9527), (55, 0.9698), (56, 1.0), (57, 0.9786), (58, 0.9727), (59, 1.0)]",0.977226316,0.9438,11,0.631578947,7,5,12,19
4419,EVT,10000,normal,0.25,0.1,14,8,193.985302,58,1,3,2.05,0,0.25,0.1,0.0507,0.005,0.0895,0.0069,15,"[(30, 0.9872), (31, 0.9944), (34, 1.0), (35, 1.0), (36, 0.9925), (43, 0.9991), (44, 0.9919), (46, 1.0), (47, 0.9888), (48, 0.9986), (49, 0.988), (50, 1.0), (52, 0.9947), (53, 0.998), (54, 0.9866), (56, 0.9896), (57, 0.9999), (58, 1.0), (59, 0.9929)]",0.994852632,0.9866,12,1,12,7,19,19
4420,EVT,10000,normal,0.25,0.1,12,8,24.14710212,59,1,3,2.05,0,0.15,0.1,0.3795,0.017,0.3287,0.0182,25,"[(30, 0.9452), (31, 0.9695), (34, 0.9848), (35, 1.0), (36, 0.9927), (43, 0.9786), (44, 0.9438), (47, 0.9759), (48, 0.9986), (49, 0.9452), (50, 0.9765), (52, 0.9952), (53, 0.9875), (54, 0.9527), (55, 0.9698), (56, 1.0), (57, 0.9786), (58, 0.9727), (59, 1.0)]",0.977226316,0.9438,11,0.631578947,7,5,12,19
